@relation 'traindata2-weka.filters.unsupervised.attribute.Remove-R3-4,8-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute senteces string
@attribute fox string
@attribute foxsc numeric

@data
'Pope Francis in Chile at start of Latin America visit ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Latin_America>        rdfs:label  \"Latin America\" .<http://dbpedia.org/resource/Chile>        rdfs:label  \"Chile\" .<http://dbpedia.org/resource/Pope_Francis>        rdfs:label  \"Pope Francis\" . ',33.33
'\'First Lady\' apple pies in the Kruhek bakery in Melania Trumps hometown of Sevnica in Slovenia are selling like hot cakes ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Sevnica>        rdfs:label  \"Sevnica\" .<http://dbpedia.org/resource/Slovenia>        rdfs:label  \"Slovenia\" .<http://aksw.org/notinwiki/Kruhek>        rdfs:label  \"Kruhek\" .<http://dbpedia.org/resource/Melania_Trump>        rdfs:label      \"Melania Trumps\" ;        dbo:birthPlace  <http://dbpedia.org/resource/Sevnica> ;        <http://ns.aksw.org/fox/ontology#livein>                <http://dbpedia.org/resource/Slovenia> . <http://dbpedia.org/resource/Sevnica> . <http://aksw.org/notinwiki/Kruhek> . ',50
'With Sundar Pichai. an Indian becoming Google CEO. the natural reaction for most people in the country is that it is a matter of pride ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Google>        rdfs:label  \"Google\" .<http://dbpedia.org/resource/Sundar_Pichai>        rdfs:label  \"Sundar Pichai\" . ',33.33
'The class of 2016 has graduated from Wellesley College in Boston as the university\'s most famous alumna. Hillary Clinton. campaigns for the presidency ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Hillary_Clinton>        rdfs:label  \"Hillary Clinton\" ;        <http://ns.aksw.org/fox/ontology#livein>                <http://dbpedia.org/resource/Boston> .<http://dbpedia.org/resource/Wellesley_College>        rdfs:label  \"Wellesley College\" .<http://dbpedia.org/resource/Boston>        rdfs:label  \"Boston\" . ',33.33
'Ram Nath Kovind. a Dalit - one of India\'s lowest castes - was picked by an electoral college to become president in July 2017 ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/India>        rdfs:label  \"India\" .<http://dbpedia.org/resource/Ram_Nath_Kovind>        rdfs:label  \"Ram Nath Kovind\" . ',33.33
'The CEO of Google promised the company would drop everything to fix a glaring error that was pointed out on its cheeseburger emoji. The viral tweet caught the attention of CEO Sundar Pichai ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Google>        rdfs:label  \"Google\" .<http://dbpedia.org/resource/Sundar_Pichai>        rdfs:label  \"Sundar Pichai\" . ',33.33
'     \"Jenny McCarthy took it way back on Thursday. July 30. celebrating Throwback Thursday with an adorable photo of herself and her famous cousin Melissa McCarthy as kids ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Jenny_McCarthy>        rdfs:label  \"Jenny McCarthy\" .<http://dbpedia.org/resource/Melissa_McCarthy>        rdfs:label  \"Melissa McCarthy\" . ',0
'Cristiano Ronaldo s superb free kick gave Real Madrid a 1-0 win over Gremio as the Spanish champions retained their Fifa Club World Cup title in Abu Dhabi ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Cristiano_Ronaldo>        rdfs:label  \"Cristiano Ronaldo\" .<http://dbpedia.org/resource/FIFA>        rdfs:label  \"Fifa\" .<http://dbpedia.org/resource/Real_Madrid_C.F.>        rdfs:label  \"Real Madrid\" .<http://dbpedia.org/resource/Abu_Dhabi>        rdfs:label  \"Abu Dhabi\" .<http://dbpedia.org/resource/Gr\%C3\%AAmio_Foot-Ball_Porto_Alegrense>        rdfs:label  \"Gremio\" . ',33.33
'The president of the European Commission. Jean-Claude Juncker. has told German media he will not seek a second term ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/European_Commission>        rdfs:label  \"European Commission\" .<http://dbpedia.org/resource/Jean-Claude_Juncker>        rdfs:label  \"Jean-Claude Juncker\" . ',33.33
'The Eagles will perform without the late Frontman Glenn Frey for the first time since his death. according to an industry insider ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Glenn_Frey>        rdfs:label  \"Glenn Frey\" .<http://dbpedia.org/resource/Eagle>        rdfs:label  \"Eagles\" . ',0
